MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal,RoomsPerHousehold,BedroomsRatio,PopulationPerHousehold,IncomeToAgeRatio,IsCoastal,TotalRooms,LuxuryScore
8.3252,41.0,6.984126984126984,1.0238095238095237,322.0,2.5555555555555554,37.88,-122.23,4.526,17.84832451499118,0.14659090909090908,2.5555555555555554,0.19821904761904763,1,880.0,16.35307142857143
8.3014,21.0,6.238137082601054,0.9718804920913884,2401.0,2.109841827768014,37.86,-122.22,3.585,13.161482544222434,0.15579659106916469,2.109841827768014,0.3773363636363636,1,7098.999999999999,16.652059508335686
7.2574,52.0,8.288135593220339,1.073446327683616,496.0,2.8022598870056497,37.85,-122.24,3.521,23.22550991094513,0.12951601908657123,2.8022598870056497,0.1369320754716981,1,1467.0000000000002,15.819622288261515
5.6431,52.0,5.8173515981735155,1.0730593607305936,558.0,2.547945205479452,37.85,-122.25,3.413,14.822293113154437,0.18445839874411304,2.547945205479452,0.10647358490566036,1,1274.0,9.25265045045045
3.8462,52.0,6.281853281853282,1.0810810810810811,565.0,2.1814671814671813,37.85,-122.25,3.422,13.703656773154842,0.17209588199139522,2.1814671814671813,0.07256981132075471,1,1627.0000000000002,7.59437791262136
4.0368,52.0,4.761658031088083,1.1036269430051813,413.0,2.139896373056995,37.85,-122.25,2.697,10.1894547504631,0.23177366702937974,2.139896373056995,0.07616603773584907,1,919.0,6.12181386138614
3.6591,52.0,4.9319066147859925,0.9513618677042801,1094.0,2.1284046692607004,37.84,-122.25,2.992,10.49709306726824,0.19289940828402366,2.1284046692607004,0.06903962264150944,1,2535.0000000000005,5.768543843283583
3.12,52.0,4.797527047913447,1.061823802163833,1157.0,1.7882534775888717,37.84,-122.25,2.414,8.579194427257894,0.22132731958762886,1.7882534775888717,0.05886792452830189,1,3104.0,5.368337028824834
2.0804,42.0,4.294117647058823,1.1176470588235294,1206.0,2.026890756302521,37.84,-122.26,2.267,8.70370736529906,0.26027397260273977,2.026890756302521,0.04838139534883721,1,2555.0,2.9513725707940033
3.6912,52.0,4.970588235294118,0.9901960784313726,1551.0,2.172268907563025,37.84,-122.25,2.611,10.797454275827977,0.1992110453648915,2.172268907563025,0.06964528301886792,1,3549.0000000000005,5.783694834437085
3.2031,52.0,5.477611940298507,1.0796019900497513,910.0,2.263681592039801,37.85,-122.26,2.815,12.399569317591146,0.19709355131698458,2.263681592039801,0.06043584905660378,1,2202.0,5.3759346036585365
3.2705,52.0,4.772479564032698,1.0245231607629428,1504.0,2.0490463215258856,37.85,-122.26,2.418,9.779031695238661,0.2146731373108764,2.0490463215258856,0.061707547169811326,1,3502.9999999999995,5.119107015192136
3.075,52.0,5.322649572649572,1.0128205128205128,1098.0,2.3461538461538463,37.85,-122.26,2.135,12.48775476660092,0.1902850260939382,2.3461538461538463,0.0580188679245283,1,2490.9999999999995,4.891331417624521
2.6736,52.0,4.0,1.0977011494252873,345.0,1.9827586206896552,37.84,-122.26,1.913,7.931034482758621,0.2744252873563218,1.9827586206896552,0.05044528301886792,1,696.0,3.5854057803468207
1.9167,52.0,4.262903225806451,1.0096774193548388,1212.0,1.9548387096774194,37.85,-122.26,1.592,8.333288241415191,0.2368520620507,1.9548387096774194,0.03616415094339623,1,2642.9999999999995,2.765195469432314
2.125,50.0,4.242424242424242,1.071969696969697,697.0,2.640151515151515,37.85,-122.26,1.4,11.200642791551882,0.2526785714285715,2.640151515151515,0.041666666666666664,1,1120.0,2.4765868886576485
2.775,52.0,5.9395770392749245,1.0483383685800605,793.0,2.395770392749245,37.85,-122.27,1.525,14.229862816148083,0.17650050864699898,2.395770392749245,0.05235849056603773,1,1966.0,4.853781138790036
